food_name,calories,carbs,protein,fat
가자미구이,123,0.66,18.7,5.02
갈비구이_소고기,241,1.59,25.91,14.55
갈치구이_기름,138,0.6,21.54,5.48
고등어구이_석쇠,340,3.79,23.38,25.69
곱창구이_소고기,184,4.71,14.89,11.73
김구이_조미김,470,29.0,20.4,30.2
꼬치구이_닭고기_대파,245,10.35,17.85,14.7
닭구이,257,7.8,26.21,13.39
닭발구이,196,9.7,18.15,9.41
떡갈비,202,2.46,21.38,11.82
런천미트구이,303,3.27,17.56,24.38
뱅어포구이,374,25.07,34.37,15.17
버섯구이,52,4.78,5.16,1.38
버섯구이_새송이버섯,84,11.66,4.29,2.21
버섯구이표고버섯,100,18.14,4.34,1.06
삼겹살구이,467,0.35,22.56,41.69
삼겹살구이_고추장,403,12.63,14.21,32.83
삼치구이,178,1.45,21.42,9.57
새우구이,145,2.82,23.41,4.44
소불고기,170,4.26,16.41,9.66
스테이크_소등심,194,0.14,30.22,8.07
스테이크_소안심,183,0.13,34.82,4.83
오리고기구이,293,4.89,24.06,19.7
오리불고기,145,9.05,6.75,9.05
장어구이_고추장,259,6.18,19.82,17.21
조개구이_키조개,130,10.44,17.43,2.07
조기구이,177,0.44,19.33,10.86
참치구이_머리,193,1.4,26.56,8.98
치킨데리야끼,208,15.21,16.54,9.01
함박스테이크,174,7.19,12.1,10.73
가지전,123,8.88,5.48,7.28
감자전,133,16.79,1.72,6.54
고구마전,227,35.99,2.92,7.98
김치전,134,19.01,5.05,4.2
달걀말이,193,1.45,17.21,13.21
달걀부침(달걀후라이),208,5.15,15.73,13.78
달걀부침(달걀후라이)_햄,277,8.06,12.71,21.59
두부부침,140,2.07,10.92,9.77
맛살전,165,19.69,7.48,6.24
메밀전,161,34.79,4.02,0.64
버섯전_표고버섯,181,12.74,10.13,9.98
부추전,167,27.86,4.63,4.17
산적_돼지고기,200,1.55,29.06,8.56
스크램블드에그,216,2.56,11.81,17.59
애호박전,122,6.73,4.35,8.62
완자전_돼지고기,139,6.51,14.78,5.95
완자전_소고기,162,4.68,18.73,7.56
